odd;29;Texas A&M University;/en/detalles/tamu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;20;23;37;83;31.9685988;-99.9018131
even;30;University of California San Diego;/en/detalles/ucsd.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1410;41;65;14;32.8803981;-117.2421885
odd;31;(2) Universidade de Sao Paulo USP;/en/detalles/usp.br;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/br.png;29;25;29;77;-23.5581488;-46.7267164
even;32;New York University;/en/detalles/nyu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1033;26;131;46;40.7295134;-73.9964609
odd;33;(2) Johns Hopkins University;/en/detalles/jhu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;158;65;20;4;39.3249281;-76.6233538
even;34;Ohio State University;/en/detalles/osu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;225;43;63;34;40.0138423;-83.0310846
odd;35;(1) University of Maryland;/en/detalles/umd.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;40;36;38;67;39.0037104;-76.9544040
even;36;University of Virginia;/en/detalles/virginia.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;23;30;112;90;38.0335529;-78.5079772
odd;37;University of Southern California;/en/detalles/usc.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1390;34;53;47;34.0223383;-118.2851232
even;38;Carnegie Mellon University;/en/detalles/cmu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;55;27;24;138;40.4424925;-79.9425528
odd;39;University College London;/en/detalles/ucl.ac.uk;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/uk.png;328;58;182;11;51.5211841;-0.1287784
even;40;University of Utah;/en/detalles/utah.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;33;38;22;85;40.7649368;-111.8421021
odd;41;(2) California Institute of Technology Caltech;/en/detalles/caltech.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;4;57;50;30;34.1363390;-118.1275370
even;42;University of Pittsburgh;/en/detalles/pitt.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1628;51;140;19;40.4443533;-79.9608350
odd;43;Arizona State University;/en/detalles/asu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;172;33;108;114;33.4535269;-112.0730317
even;44;University of California Davis;/en/detalles/ucdavis.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1584;56;88;29;38.5382322;-121.7617125
odd;45;Eidgenossische Technische Hochschule ETH Zurich / Swiss Federal Institute of Technology Zurich ;/en/detalles/ethz.ch;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/ch.png;773;60;60;33;47.3764197;8.5481250
even;46;Rutgers University;/en/detalles/rutgers.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;129;46;61;106;40.4786708;-74.4317893
odd;47;University of California San Francisco;/en/detalles/ucsf.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;8;109;1;16;37.7716141;-122.4258437
even;48;Washington University Saint Louis;/en/detalles/wustl.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;332;63;162;36;38.6487895;-90.3107962
odd;49;University of Colorado Boulder;/en/detalles/colorado.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;121;50;64;84;40.0075811;-105.2659419
even;50;Northwestern University;/en/detalles/northwestern.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;135;77;188;27;42.0539102;-87.6748758
odd;51;Colorado State University;/en/detalles/colostate.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;231;29;224;231;40.5734360;-105.0865473
even;52;University of Edinburgh;/en/detalles/ed.ac.uk;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/uk.png;387;61;196;53;55.9474293;-3.1872611
odd;53;(1) Indiana University;/en/detalles/indiana.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;87;39;98;182;39.1665486;-86.5269475
even;54;National University of Singapore;/en/detalles/nus.edu.sg;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/sg.png;544;66;176;43;1.2933539;103.7703561
odd;55;University of New Mexico;/en/detalles/unm.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;319;37;167;206;35.0843441;-106.6197553
even;56;Florida State University;/en/detalles/fsu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;134;44;86;218;30.4418778;-84.2984889
odd;57;Tsinghua University China / ????;/en/detalles/tsinghua.edu.cn;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/cn.png;296;70;441;54;40.0016970;116.3276030
even;58;University of California Irvine;/en/detalles/uci.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;422;71;177;65;33.6404952;-117.8442962
odd;59;University of Georgia;/en/detalles/uga.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1113;45;115;185;33.9480053;-83.3773221
even;60;Vanderbilt University;/en/detalles/vanderbilt.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;120;82;85;61;36.1443747;-86.8027437
odd;61;Georgia Institute of Technology;/en/detalles/gatech.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1507;67;72;71;33.7756178;-84.3962850
even;62;Boston University;/en/detalles/bu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;103;84;206;55;42.3507543;-71.1073183
odd;63;University of Tokyo / ????;/en/detalles/u-tokyo.ac.jp;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/jp.png;145;122;44;24;35.7134280;139.7623080
even;64;North Carolina State University;/en/detalles/ncsu.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1100;49;75;158;35.7846633;-78.6820946
odd;64;Virginia Polytechnic Institute and State University;/en/detalles/vt.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;1486;48;102;179;37.2283843;-80.4234167
even;66;National Taiwan University;/en/detalles/ntu.edu.tw;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/tw.png;2;85;30;103;25.0183520;121.5336585
odd;67;Peking University / ????;/en/detalles/pku.edu.cn;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/cn.png;1316;78;366;56;39.9877550;116.3056110
even;68;University of California Santa Barbara;/en/detalles/ucsb.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;141;79;129;89;34.4139629;-119.8489470
odd;69;Utrecht University / Universiteit Utrecht;/en/detalles/uu.nl;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/nl.png;84;113;159;32;52.0903294;5.1221267
even;70;(2) Universidad Nacional Autonoma de Mexico;/en/detalles/unam.mx;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/mx.png;38;47;84;300;19.3565494;-99.2314788
odd;71;Rice University;/en/detalles/rice.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;277;52;119;207;29.7173941;-95.4018312
even;72;McGill University;/en/detalles/mcgill.ca;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/ca.png;159;108;138;51;45.5047847;-73.5771511
odd;73;University of Massachusetts Amherst;/en/detalles/umass.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;509;55;289;184;42.3910761;-72.5265441
even;74;University of Iowa;/en/detalles/uiowa.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;44;90;54;104;41.6626963;-91.5548998
odd;74;Australian National University;/en/detalles/anu.edu.au;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/au.png;364;69;218;134;-35.2776999;149.1185270
even;76;Zhejiang University (National Che Kiang University) / ????;/en/detalles/zju.edu.cn;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/cn.png;208;92;111;79;
odd;77;University of Alberta;/en/detalles/ualberta.ca;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/ca.png;65;110;104;69;53.5234543;-113.5259951
even;78;Universitat Wien;/en/detalles/univie.ac.at;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/at.png;1001;53;121;267;48.2131286;16.3601772
odd;78;Emory University;/en/detalles/emory.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;330;119;290;52;33.7920794;-84.3239795
even;80;University at Buffalo;/en/detalles/buffalo.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;75;72;175;188;42.9536720;-78.8170273
odd;81;University of California Santa Cruz;/en/detalles/ucsc.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;221;68;134;212;36.9913856;-122.0608718
even;82;Iowa State University;/en/detalles/iastate.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;69;88;56;146;42.0266187;-93.6464654
odd;83;Monash University;/en/detalles/monash.edu.au;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/au.png;430;101;478;82;-37.9152113;145.1346820
even;83;Simon Fraser University;/en/detalles/sfu.ca;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/ca.png;178;62;122;272;49.2780937;-122.9198833
odd;85;Brown University;/en/detalles/brown.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;16;105;373;116;41.8267175;-71.4025625
even;86;Tufts University;/en/detalles/tufts.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;58;87;433;142;42.4074843;-71.1190229
odd;87;Oregon State University;/en/detalles/oregonstate.edu;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/us.png;57;75;83;255;44.5637355;-123.2794752
even;88;Ecole Polytechnique Federale de Lausanne;/en/detalles/epfl.ch;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/ch.png;1453;107;156;93;46.5197452;6.5657017
odd;89;Ruprecht Karls Universitat Heidelberg;/en/detalles/uni-heidelberg.de;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/de.png;37;154;107;63;49.4098352;8.7078652
even;90;University of Amsterdam / Universiteit van Amsterdam;/en/detalles/uva.nl;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/nl.png;325;165;352;41;52.3570460;4.9501243
odd;91;(2) Universidad Complutense de Madrid;/en/detalles/ucm.es;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/es.png;156;81;123;242;40.4478375;-3.7285373
even;92;Wuhan University / ????;/en/detalles/whu.edu.cn;http://www.webometrics.info/sites/default/files/Details.jpg;http://www.webometrics.info/sites/default/files/logos/cn.png;93;64;335;307;30.5403638;114.3617683
